RunNum,BestFit,Turn 1,Turn 2,Turn 3,Turn 4,Turn 5,Turn 6,Turn 7,Turn 8,Turn 9,Turn 10,Turn 11,Turn 12,Turn 13,Turn 14,Turn 15,Turn 16,Turn 17,Turn 18,Turn 19,Turn 20,Turn 21,Turn 22,Turn 23,Turn 24,Turn 25,Turn 26,Turn 27,Turn 28,Turn 29,Turn 30,Turn 31,Turn 32,Turn 33,Turn 34,Turn 35,Turn 36,Turn 37,Turn 38,Turn 39,Turn 40,Turn 41,Turn 42,Turn 43,Turn 44,Turn 45,Turn 46,Turn 47,Turn 48,Turn 49,Turn 50,Turn 51,Turn 52,Turn 53,Turn 54,Turn 55,Turn 56,Turn 57,Turn 58,Turn 59,Turn 60,Turn 61,Turn 62,Turn 63,Turn 64,Turn 65,Turn 66,Turn 67,Turn 68,Turn 69,Turn 70,Turn 71,Turn 72,Turn 73,Turn 74,Turn 75,Turn 76,Turn 77,Turn 78,Turn 79,Turn 80,Turn 81,Turn 82,Turn 83,Turn 84,Turn 85,Turn 86,Turn 87,Turn 88,Turn 89,Turn 90,Turn 91,Turn 92,Turn 93,Turn 94,Turn 95,Turn 96,Turn 97,Turn 98,Turn 99,Turn 100,Field1Turns,Field2Turns,Field3Turns
10,416,0,0,2,0,2,1,1,0,1,0,1,0,1,1,1,2,1,0,0,0,2,1,1,0,0,0,1,1,2,0,1,1,0,1,0,0,0,2,0,0,0,0,1,0,2,2,0,0,2,2,1,0,1,0,0,1,1,2,1,2,2,1,0,2,1,0,2,0,1,0,2,1,0,0,2,0,2,2,1,1,2,2,0,0,0,2,2,0,2,2,2,0,2,1,2,2,2,2,1,2,39,29,32
11,413,0,1,2,0,2,2,1,0,2,0,1,1,2,1,1,2,2,2,1,0,0,1,2,1,0,0,1,2,2,2,1,1,1,2,2,0,0,2,1,1,1,2,2,1,0,1,1,0,0,1,1,0,0,0,1,1,2,1,1,0,1,0,1,1,0,2,0,1,1,0,0,1,1,1,1,2,1,2,1,2,0,1,2,1,0,2,0,0,1,0,0,2,2,0,2,1,2,2,2,1,29,41,30
12,420,1,2,0,1,2,2,0,1,2,1,0,0,0,0,2,1,0,2,0,2,0,1,0,2,0,0,2,1,2,2,1,0,0,0,0,0,0,1,2,0,2,2,0,2,0,0,1,1,0,2,0,0,0,2,0,1,0,2,0,2,1,2,0,1,0,0,0,2,1,0,0,2,2,1,0,2,1,1,1,1,0,1,1,1,1,0,2,2,1,1,1,1,2,2,1,2,2,2,0,2,39,29,32
13,414,2,1,0,1,2,0,0,1,0,1,2,1,0,0,2,2,2,0,1,1,2,1,0,2,0,2,1,0,0,1,1,2,0,1,0,1,1,0,2,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,2,0,2,0,0,1,1,0,0,1,1,1,0,2,2,1,1,2,2,1,1,2,2,2,1,0,0,2,1,2,0,0,0,2,2,0,2,2,2,0,1,0,2,2,2,2,35,34,31
14,414,0,2,1,0,2,1,2,0,1,0,2,2,2,1,0,1,2,1,2,0,1,0,1,1,0,0,0,2,0,0,2,0,2,1,0,0,0,2,0,2,0,2,1,0,0,1,2,0,1,1,0,2,0,0,0,1,2,2,0,2,2,0,0,0,0,2,0,1,0,1,2,0,1,2,1,0,2,1,2,0,0,2,0,2,0,1,0,1,1,1,0,1,1,1,1,1,2,2,1,1,40,31,29
15,414,0,2,2,0,1,1,2,1,0,0,0,2,0,0,2,2,2,0,0,1,1,2,0,1,1,1,0,1,0,0,0,1,0,2,0,1,1,1,0,2,2,0,1,1,0,0,0,2,1,0,1,0,0,1,2,0,1,0,0,1,1,1,2,0,0,1,0,2,2,0,0,2,1,2,2,2,1,2,0,2,1,2,1,1,2,2,0,0,0,2,0,2,2,1,0,2,2,2,2,1,38,30,32
16,417,0,2,1,0,0,1,1,0,2,2,0,2,1,0,1,2,0,1,1,1,2,2,1,2,0,0,2,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,2,1,0,0,2,1,2,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,2,1,2,2,1,2,0,1,1,2,2,2,2,2,2,1,0,1,2,1,1,1,2,0,0,0,2,2,2,0,2,2,2,2,0,30,39,31
17,419,0,1,2,0,2,2,1,1,1,2,0,1,2,1,0,2,2,2,0,2,1,1,0,2,2,0,0,2,1,0,1,1,1,0,2,2,0,2,1,1,2,2,1,2,0,2,2,2,0,1,2,0,1,1,2,1,2,1,2,2,2,0,2,2,2,2,2,2,2,1,0,0,0,0,2,0,2,2,0,1,0,0,2,1,0,0,2,0,0,2,1,1,0,1,0,1,0,1,1,1,30,30,40
18,419,1,0,2,1,0,2,2,0,0,1,0,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,0,1,0,2,1,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,2,0,0,0,1,1,2,0,0,2,0,0,1,2,0,0,1,0,0,0,1,2,2,0,1,0,1,0,0,0,2,0,1,0,1,1,0,0,2,2,1,0,1,1,1,0,2,30,36,34
19,418,0,1,1,2,0,1,2,0,2,1,2,1,0,0,2,2,0,0,1,1,1,0,0,1,0,0,2,2,1,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,1,1,1,1,0,2,2,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,2,0,2,2,2,2,0,1,0,0,2,0,0,2,2,2,1,2,2,2,2,2,2,0,1,1,2,2,2,2,2,1,1,38,31,31
20,418,0,2,0,1,1,1,1,0,0,1,2,2,0,1,1,0,2,0,1,1,2,0,1,2,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,1,1,1,1,2,0,1,0,1,0,0,2,1,0,0,1,0,0,2,2,0,1,0,0,2,0,2,2,2,1,1,0,0,0,2,2,0,0,2,2,2,2,2,2,0,0,2,0,2,0,1,2,1,1,1,1,2,2,1,2,1,38,32,30
21,412,2,1,0,2,1,0,2,0,0,2,1,2,0,1,2,2,0,2,1,2,1,1,1,0,2,1,1,1,2,1,2,1,2,2,0,1,0,2,2,2,1,1,0,0,2,2,0,1,1,0,1,2,0,1,2,2,1,2,0,2,2,2,0,2,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,32,31,37
22,420,2,0,0,1,2,1,1,1,2,0,0,1,2,0,2,2,0,0,0,0,1,0,2,0,0,2,2,2,1,1,2,0,0,1,1,0,0,0,0,0,2,0,1,0,1,2,0,1,2,1,0,2,0,0,2,0,2,1,2,0,0,1,2,0,0,1,0,0,0,2,1,0,0,1,1,0,0,1,2,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,37,32,31
23,421,1,0,2,0,1,0,2,1,2,2,0,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,0,1,1,2,0,1,1,1,2,2,1,2,2,1,2,1,2,1,1,2,0,2,1,2,0,1,2,0,0,0,1,1,0,2,1,0,0,2,1,2,0,1,0,1,2,0,1,1,2,0,0,0,0,1,1,2,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0,32,35,33
24,415,0,2,2,1,1,0,0,1,2,0,1,0,1,1,1,0,0,2,1,2,1,1,1,0,2,2,2,2,2,1,0,0,0,1,0,1,0,1,1,1,1,2,0,2,1,1,0,2,2,1,1,0,1,1,0,1,1,0,2,0,1,2,0,1,1,2,2,1,1,1,1,1,1,2,1,1,2,0,0,2,1,1,1,2,0,2,1,2,0,1,2,0,0,2,0,2,2,2,2,0,28,42,30
25,416,0,1,2,0,1,2,1,2,0,2,0,1,1,2,2,0,2,0,2,0,2,2,1,2,0,1,1,2,2,2,0,1,2,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,1,1,2,0,0,0,0,2,2,2,1,2,2,2,2,1,2,2,2,0,0,0,1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,0,1,1,0,0,2,0,0,1,0,32,30,38
26,420,0,2,1,1,0,0,1,2,2,2,1,1,1,0,0,2,2,2,2,1,2,2,0,2,1,0,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,0,1,1,2,1,2,2,1,2,0,2,0,1,2,2,0,2,2,0,0,1,2,2,1,2,0,0,0,1,0,2,2,0,2,0,0,2,0,2,2,1,2,1,2,0,0,1,0,2,0,2,2,1,1,0,0,1,1,0,28,29,43
27,411,0,1,2,2,0,0,2,0,1,2,1,1,0,1,0,1,0,1,0,2,0,1,1,1,2,0,2,0,2,2,2,0,0,0,1,0,2,2,2,2,2,1,2,2,1,0,0,2,0,2,0,1,2,2,0,0,2,0,1,2,0,0,2,0,2,0,2,2,1,1,1,2,1,0,0,1,2,1,1,2,2,0,1,1,2,0,2,2,1,0,1,1,1,1,1,2,1,2,2,0,32,31,37
28,417,2,0,0,1,1,0,1,0,2,2,0,1,2,0,1,1,0,1,1,2,0,1,0,2,1,2,0,0,1,0,0,0,0,1,1,0,2,1,0,1,0,2,0,1,2,1,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,2,0,1,0,2,0,2,2,2,0,2,0,2,0,1,1,1,2,0,0,2,2,0,2,2,0,1,2,2,0,2,1,2,1,42,27,31
29,414,2,0,1,1,0,1,0,2,0,1,0,0,2,2,2,1,0,1,0,2,2,1,0,2,0,1,0,0,0,0,2,0,1,2,2,0,2,2,0,1,2,2,0,1,0,1,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,2,1,2,2,1,2,1,2,0,1,1,0,2,0,2,0,0,2,2,2,0,2,2,1,0,1,2,43,26,31
